"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity id test","This is a failing test","FAILURE","2019-07-17T15:00:14.996+05:30[Asia/Calcutta]","0.0","2.93"
"First serenity id test","This is a skipped test","IGNORED","2019-07-17T15:00:18.404+05:30[Asia/Calcutta]","0.0","0.24"
"First serenity id test","This is a manual test","PENDING","2019-07-17T15:00:18.649+05:30[Asia/Calcutta]","0.0","0.2"
"First serenity id test","This is a pending test","PENDING","2019-07-17T15:00:18.848+05:30[Asia/Calcutta]","0.0","0.23"
"First serenity id test","This is a test with error","ERROR","2019-07-17T15:00:19.078+05:30[Asia/Calcutta]","0.0","0.24"
"First serenity id test","Get all students","SUCCESS","2019-07-17T15:00:19.316+05:30[Asia/Calcutta]","0.0","0.25"
"First serenity id test","File does not exists","COMPROMISED","2019-07-17T15:00:19.562+05:30[Asia/Calcutta]","0.0","0.21"
