"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a failing test","FAILURE","2019-07-17T17:42:06.299+05:30[Asia/Calcutta]","0.0","1.0"
"First serenity test","This is a skipped test","IGNORED","2019-07-17T17:42:07.302+05:30[Asia/Calcutta]","0.0","0.96"
"First serenity test","This test will get the information of all the students from the student app","SUCCESS","2019-07-17T17:42:08.265+05:30[Asia/Calcutta]","0.0","0.98"
"First serenity test","This is a manual test","PENDING","2019-07-17T17:42:09.241+05:30[Asia/Calcutta]","0.0","0.91"
"First serenity test","This is a pending test","PENDING","2019-07-17T17:42:10.151+05:30[Asia/Calcutta]","0.0","0.92"
"First serenity test","This is a test with error","ERROR","2019-07-17T17:42:11.071+05:30[Asia/Calcutta]","0.0","0.9"
"First serenity test","Get all students","SUCCESS","2019-07-17T17:42:11.976+05:30[Asia/Calcutta]","0.0","0.95"
"First serenity test","File does not exists","COMPROMISED","2019-07-17T17:42:12.922+05:30[Asia/Calcutta]","0.0","0.91"
"Students CRUD test","This test will create new student","FAILURE","2019-07-17T17:42:13.943+05:30[Asia/Calcutta]","0.0","1.29"
