"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a failing test","FAILURE","2019-07-17T15:00:23.911+05:30[Asia/Calcutta]","0.0","0.46"
"First serenity test","This is a skipped test","IGNORED","2019-07-17T15:00:24.376+05:30[Asia/Calcutta]","0.0","0.42"
"First serenity test","This test will get the information of all the students from the student app","SUCCESS","2019-07-17T15:00:24.8+05:30[Asia/Calcutta]","0.0","0.4"
"First serenity test","This is a manual test","PENDING","2019-07-17T15:00:25.196+05:30[Asia/Calcutta]","0.0","0.4"
"First serenity test","This is a pending test","PENDING","2019-07-17T15:00:25.598+05:30[Asia/Calcutta]","0.0","0.41"
"First serenity test","This is a test with error","ERROR","2019-07-17T15:00:26.008+05:30[Asia/Calcutta]","0.0","0.39"
"First serenity test","Get all students","SUCCESS","2019-07-17T15:00:26.397+05:30[Asia/Calcutta]","0.0","0.45"
"First serenity test","File does not exists","COMPROMISED","2019-07-17T15:00:26.843+05:30[Asia/Calcutta]","0.0","0.43"
