"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity id test","This is a failing test","FAILURE","2019-07-17T17:41:49.704+05:30[Asia/Calcutta]","0.0","3.58"
"First serenity id test","This is a skipped test","IGNORED","2019-07-17T17:41:55.119+05:30[Asia/Calcutta]","0.0","0.7"
"First serenity id test","This is a manual test","PENDING","2019-07-17T17:41:55.824+05:30[Asia/Calcutta]","0.0","0.73"
"First serenity id test","This is a pending test","PENDING","2019-07-17T17:41:56.555+05:30[Asia/Calcutta]","0.0","0.74"
"First serenity id test","This is a test with error","ERROR","2019-07-17T17:41:57.294+05:30[Asia/Calcutta]","0.0","0.69"
"First serenity id test","Get all students","SUCCESS","2019-07-17T17:41:57.987+05:30[Asia/Calcutta]","0.0","0.74"
"First serenity id test","File does not exists","COMPROMISED","2019-07-17T17:41:58.729+05:30[Asia/Calcutta]","0.0","0.72"
