"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity id test","This is a failing test","FAILURE","2019-07-17T15:00:14.996+05:30[Asia/Calcutta]","0.0","2.93"
"First serenity id test","This is a test with error","ERROR","2019-07-17T15:00:19.078+05:30[Asia/Calcutta]","0.0","0.24"
"First serenity test","This is a failing test","FAILURE","2019-07-17T15:00:23.911+05:30[Asia/Calcutta]","0.0","0.46"
"First serenity test","This is a test with error","ERROR","2019-07-17T15:00:26.008+05:30[Asia/Calcutta]","0.0","0.39"
