"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This test will get the information of all the students from the student app","SUCCESS","2019-07-17T17:42:08.265+05:30[Asia/Calcutta]","0.0","0.98"
"First serenity test","Get all students","SUCCESS","2019-07-17T17:42:11.976+05:30[Asia/Calcutta]","0.0","0.95"
