"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity id test","This is a skipped test","IGNORED","2019-07-17T15:00:18.404+05:30[Asia/Calcutta]","0.0","0.24"
"First serenity test","This is a skipped test","IGNORED","2019-07-17T15:00:24.376+05:30[Asia/Calcutta]","0.0","0.42"
